A	(
S	)
Z	（
X	）
C	「
V	」
T	ー
Q	？
D	・
K	・
-	ー
@	ー
dwu	でゅ
two	とぅ
thi	てぃ
txi	てぃ
tyi	てぃ
dhi	でぃ
dxi	でぃ
dyi	でぃ
the	ちぇ
txe	ちぇ
tye	ちぇ
she	しぇ
sxe	しぇ
sye	しぇ
zxe	じぇ
zye	じぇ
kn	か
cn	か
sn	さ
tn	た
hn	は
mn	ま
rn	ら
yn	や
wn	わ
gn	が
zn	ざ
dn	だ
bn	ば
pn	ぱ
xn	や
fn	ふぁ
vn	ゔぁ
jn	じゃ
ks	こと
st	して
mt	みて
rt	りて
kt	こ
nt	の
nr	ない
sk	し
xi	し
xe	せ
tr	て
sr	する
sh	する
tk	と
dr	で
rw	れる
rd	れ
sd	される
wr	を
nk	に
hm	は
zm	じ
mh	も
mz	ま
zh	じょうほう
kv	こう
sv	そう
tv	とう
nv	のう
hv	ほう
mv	もう
rv	ろう
wv	をう
gv	ごう
zv	ぞう
dv	どう
bv	ぼう
pv	ぽう
k:	かっ
s:	さっ
t:	たっ
n:	なっ
h:	はっ
m:	まっ
r:	らっ
w:	わっ
g:	がっ
z:	ざっ
d:	だっ
b:	ばっ
p:	ぱっ
k-	かー
s-	さー
t-	たー
n-	なー
h-	はー
m-	まー
r-	らー
w-	わー
g-	がー
z-	ざー
d-	だー
b-	ばー
p-	ぱー
~	〜
.	。
,	、
z/	・
z.	…
z,	‥
z<	←	
z>	→
z-	〜
z:dot	・
z[	『
z]	』
[	「
]	」
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
kk	っ	k
gg	っ	g
ss	っ	s
zz	っ	z
jj	っ	j
tt	っ	t
dd	っ	d
hh	っ	h
ff	っ	f
bb	っ	b
pp	っ	p
yy	っ	y
cc	っ	c
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
nn	ん
n	ん
a	あ
i	い
u	う
e	え
o	お
xa	や
xu	ゆ
xo	よ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyu	ゅ
lyo	ょ
ka	か
ki	き
ku	く
ke	け
ko	こ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
sa	さ
si	し
su	す
se	せ
so	そ
ca	か
ci	き
cu	く
ce	け
co	こ
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
ta	た
ti	ち
tu	つ
te	て
to	と
da	だ
di	ぢ
du	づ
de	で
do	ど
ltu	っ
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
fu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
lwa	ゎ
wa	わ
wi	うぃ
we	うぇ
wo	を
q	ー
;	ん
k;	かん
s;	さん
t;	たん
n;	なん
h;	はん
m;	まん
y;	やん
r;	らん
w;	わん
g;	がん
z;	ざん
d;	だん
b;	ばん
p;	ぱん
